RSOInterestsId,RSOname,RSOInterest1,RSOInterest2,RSOInterest3
359,Global Empowerment for Women’s Medical Support,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
360,Global Engineering Brigade ( GEB ),Community Service & Philanthropy,Environmental & Sustainability,Technology
361,Global Medical Missions Alliance,Community Service & Philanthropy,Faith,Religion & Spirituality
362,Global Medical Training,Community Service & Philanthropy,Health & Wellness,NA
363,Global Review at Illinois,Education,Pedagogy & Instruction,Environmental & Sustainability
364,Glory Nation Prayer City,Faith,Religion & Spirituality,NA
365,Go Club @ UIUC,Identity & Culture,NA,NA
366,Golden Apple - Illini,Education,Pedagogy & Instruction,NA
367,Good Athlete Project - UIUC,Community Service & Philanthropy,NA,NA
368,Gospel Fellowship,Faith,Religion & Spirituality,NA
369,Graduate Biomedical Engineering Society,Technology,Engineering & Mathematics,NA
370,Graduate Employees’ Organization,Advocacy & Activism,NA,NA
371,"Graduate Organization of, for and by Latine Students",Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
372,Graduate Students in Ecology and Evolutionary Biology,Life & Physical Sciences,NA,NA
373,Graduate Students of French and Italian,NA,NA,NA
374,Graduate Women in the Society of Women Engineers,Community Service & Philanthropy,Health & Wellness,Identity & Culture
375,Greek InterVarsity Christian Fellowship,Faith,Religion & Spirituality,Social & Leisure
376,Greeks Redefined,Health & Wellness,NA,NA
377,Grow2Give,Advocacy & Activism,Agricultural,Environmental & Sustainability
378,Grupo Illini,Performance Arts,NA,NA
379,Guild of Unpaid Illinois Lawyer Thespians,Law,Performance Arts,NA
380,Habitat for Humanity Campus Chapter,Community Service & Philanthropy,NA,NA
381,Hack4Impact UIUC,Technology,Engineering & Mathematics,NA
382,Harmony Ballet,Athletic & Recreation,Performance Arts,NA
383,Harry Potter Alliance,Community Service & Philanthropy,NA,NA
384,Healing Everything And Reaching The Soul,Community Service & Philanthropy,NA,NA
385,Health and Elder Law Society,Law,NA,NA
386,Health of The Homeless,Advocacy & Activism,Health & Wellness,NA
387,Healthcare Book Club,Health & Wellness,NA,NA
388,Healthy Smiles,Health & Wellness,NA,NA
389,Heart of Kindness UIUC,Community Service & Philanthropy,NA,NA
390,Hellenic Student Association,Identity & Culture,NA,NA
391,Her Campus Illinois,Business,Media Arts,Social & Leisure
392,"Hermandad de Sigma Iota Alpha, Incorporada",Social & Leisure,Social Fraternities & Sororities,NA
393,Hillel Leadership Council,Identity & Culture,NA,NA
394,Hindu YUVA UIUC,Faith,Religion & Spirituality,Identity & Culture
395,Hip-Hop Collective at UIUC,Advocacy & Activism,Identity & Culture,Media Arts
396,Hip-Notic Dance Team,Performance Arts,NA,NA
397,Hispanic Organization of Urban Studies and the Environment,Environmental & Sustainability,Identity & Culture,Social & Leisure
398,Hispanic Student Nursing Association,Health & Human Sciences,NA,NA
399,Historical European Martial Arts Urbana slash Champaign,Athletic & Recreation,NA,NA
400,History Graduate Student Association,NA,NA,NA
401,Hive Society Improv,Performance Arts,NA,NA
402,HoloLab,Education,Pedagogy & Instruction,Technology
403,Homebound,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
404,Hong Kong Student Association,Identity & Culture,International,Social & Leisure
405,Horticulture Club,Agricultural,Environmental & Sustainability,NA
406,Hospitality Management Association,Education,Pedagogy & Instruction,NA
407,Hot Pot Basketball Association,Athletic & Recreation,NA,NA
408,Human Development and Family Studies Graduate Student Organization,Advocacy & Activism,Social & Behavioral Sciences,NA
409,Human Factors and Ergonomics Society at the University of Illinois Urbana-Champaign,Environmental & Sustainability,Information & Data Sciences,Social & Behavioral Sciences
410,Human Resources and Psychology Organization,Business,NA,NA
411,HUMANOID ROBOTICS,Business,Health & Wellness,Information & Data Sciences
412,I-CAUSE,Advocacy & Activism,Community Service & Philanthropy,Education
413,I-Leader Academia,Business,Community Service & Philanthropy,Education
414,Ice Skating Illini,Athletic & Recreation,NA,NA
415,iDegrees Graduate Business Association,Business,NA,NA
416,If slash When slash How,Health & Wellness,Identity & Culture,Law
417,IGNITE @UIUC,Advocacy & Activism,~ Affiliation: Women's Resources Center (WRC),NA
418,IlliDell of Alpha Gamma Sigma,Agricultural,Social Fraternities & Sororities,NA
419,Illinakia,Athletic & Recreation,Education,Pedagogy & Instruction
420,Illini 4000,Athletic & Recreation,Community Service & Philanthropy,NA
421,Illini Art and Business Collective,Advocacy & Activism,Business,Community Service & Philanthropy
422,Illini Automotive Group,Social & Leisure,NA,NA
423,Illini Autonomous Vehicles,Information & Data Sciences,Technology,Engineering & Mathematics
424,Illini Awaaz A Cappella,Performance Arts,NA,NA
425,Illini Badminton Intercollegiate Sports Club,Athletic & Recreation,Club Sports,NA
426,Illini Barbell,Athletic & Recreation,NA,NA
427,Illini Bass Fishing Club,Athletic & Recreation,NA,NA
428,Illini Bhangra,Identity & Culture,Performance Arts,NA
429,Illini Billiards Club,Athletic & Recreation,NA,NA
430,Illini Blockchain,Business,Information & Data Sciences,Technology
431,Illini Books to Prisoners,Advocacy & Activism,Community Service & Philanthropy,Ideology & Politics
432,Illini Boxing,Athletic & Recreation,Club Sports,NA
433,Illini Brazilian Jiu Jitsu Club,Athletic & Recreation,Club Sports,NA
434,Illini Business Forum,Business,Education,Pedagogy & Instruction
435,Illini CHAARG,Athletic & Recreation,NA,NA
436,Illini Chamber Strings ( ICS ),Performance Arts,NA,NA
437,Illini Chess Club,NA,NA,NA
438,Illini Chinese Christian Fellowship,Faith,Religion & Spirituality,NA
439,Illini Crusaders,Social & Leisure,NA,NA
440,Illini Cubers,Athletic & Recreation,NA,NA
441,Illini Culinary Care Collective [ CCC ],Community Service & Philanthropy,Health & Wellness,NA
442,Illini Cycling,Athletic & Recreation,Club Sports,NA
443,Illini Dancesport,Athletic & Recreation,NA,NA
444,Illini Democrats,Ideology & Politics,NA,NA
445,Illini Disc Golf Club,Athletic & Recreation,Club Sports,NA
446,Illini Electric Motorsports,Technology,Engineering & Mathematics,NA
447,Illini Emerging Leaders,Community Service & Philanthropy,Education,Pedagogy & Instruction
448,Illini Equestrians,Agricultural,Athletic & Recreation,Health & Wellness
449,Illini Esports,Athletic & Recreation,International,Social & Leisure
450,Illini EV Concept,Technology,Engineering & Mathematics,NA
451,Illini Fight Club,Athletic & Recreation,Health & Wellness,NA
452,Illini Fighting Alzheimer’s,Health & Wellness,NA,NA
453,Illini Fighting Hunger,Community Service & Philanthropy,NA,NA
454,Illini Film and Video,Media Arts,NA,NA
455,Illini Fly Fishing,Athletic & Recreation,Environmental & Sustainability,NA
456,Illini Hockey Club,Athletic & Recreation,Club Sports,NA
457,Illini Ice Girls,Athletic & Recreation,NA,NA
458,Illini Ishaara,Performance Arts,NA,NA
459,Illini Kart Racing [ IKR ],Technology,Engineering & Mathematics,NA
460,Illini Kennel Club,Social & Leisure,NA,NA
461,Illini Life Student Fellowship,Faith,Religion & Spirituality,NA
462,Illini Magic Society,Performance Arts,NA,NA
463,Illini Math Tournament at UIUC,Technology,Engineering & Mathematics,NA
464,Illini Medical Screening Society,Health & Wellness,NA,NA
465,Illini MediMech,Health & Wellness,Technology,Engineering & Mathematics
466,Illini Mens’ Water Polo Club,Club Sports,NA,NA
467,Illini Mentor Program,Community Service & Philanthropy,NA,NA
468,Illini Motorcycle Club,Athletic & Recreation,Social & Leisure,NA
469,Illini N Motion Dance Team,Performance Arts,NA,NA
470,Illini Painting Club,Media Arts,NA,NA
471,Illini Pride Student Athletic Board,Athletic & Recreation,NA,NA
472,Illini Pullers,Agricultural,Technology,Engineering & Mathematics
473,Illini Raas,Identity & Culture,Performance Arts,NA
474,Illini Railroad Club,Social & Leisure,Technology,Engineering & Mathematics
475,Illini Rhythm Syndicate,Athletic & Recreation,Social & Leisure,Technology
476,Illini Ridgebacks Quadball Team,Athletic & Recreation,Club Sports,Social & Leisure
477,Illini RoboMaster,Technology,Engineering & Mathematics,NA
478,Illini Rotaract Club,Community Service & Philanthropy,Social & Leisure,NA
479,Illini Run Club,Athletic & Recreation,Health & Wellness,Social & Leisure
480,Illini Saxophone Club,Community Service & Philanthropy,Education,Pedagogy & Instruction
481,Illini Service Dogs,Community Service & Philanthropy,NA,NA
482,Illini Sheltering Hands Society,Health & Wellness,NA,NA
483,Illini Solar Car,Environmental & Sustainability,Technology,Engineering & Mathematics
484,Illini Speech and Debate,Education,Pedagogy & Instruction,Ideology & Politics
485,Illini Speed,Athletic & Recreation,NA,NA
486,Illini Student Musicals,Performance Arts,NA,NA
487,Illini Students for Reproductive Justice,Advocacy & Activism,Community Service & Philanthropy,NA
488,Illini Students Supporting Israel,Identity & Culture,Ideology & Politics,NA
489,Illini Swim Club,Athletic & Recreation,Club Sports,NA
490,Illini Table Tennis Club,Athletic & Recreation,Club Sports,NA
491,Illini Tang Soo Do,Athletic & Recreation,NA,NA
492,Illini Thaakat Foundation,Community Service & Philanthropy,NA,NA
493,Illini Trap and Skeet Club,Athletic & Recreation,Club Sports,NA
494,Illini Urban Farmers,Agricultural,Community Service & Philanthropy,Education
495,Illini Veterans,Identity & Culture,Social & Leisure,Veteran & Military Connected
496,Illini VEX Robotics,Technology,Engineering & Mathematics,NA
497,Illini Waterski and Wakeboard Club,Athletic & Recreation,NA,NA
498,Illini Wildlife and Conservation Club,Environmental & Sustainability,Social & Leisure,NA
499,"Illini Women in Economics, Econometrics and Statistics",Business,Social & Behavioral Sciences,NA
500,Illini Women’s Golf Club,Athletic & Recreation,NA,NA
501,Illini Women’s Hockey Club,Athletic & Recreation,Club Sports,NA
502,Illini Women’s Soccer Club,Athletic & Recreation,Club Sports,NA
503,Illini Women’s Water Polo,Club Sports,NA,NA
504,Illini World Taekwondo,Athletic & Recreation,Club Sports,Identity & Culture
505,Illini Wushu Club,Athletic & Recreation,NA,NA
506,IlliniFurs,Identity & Culture,Media Arts,Social & Leisure
507,IlliniReads,Social & Leisure,Humanities,NA
508,IlliniThon,Community Service & Philanthropy,NA,NA
509,Illinois Ballet Company,Performance Arts,NA,NA
510,Illinois Biodiesel Initiative,Environmental & Sustainability,Life & Physical Sciences,Technology
511,Illinois Biophysics,Life & Physical Sciences,NA,NA
512,Illinois Club Baseball,Athletic & Recreation,Club Sports,NA
513,Illinois Club Dodgeball,Athletic & Recreation,Club Sports,NA
514,Illinois Club Golf Team,Athletic & Recreation,NA,NA
515,Illinois Consulting Group,Business,Social & Leisure,Technology
516,Illinois Data Science Club,Information & Data Sciences,Technology,Engineering & Mathematics
517,Illinois Design Challenge,Technology,Engineering & Mathematics,NA
518,Illinois DII Club Baseball,Athletic & Recreation,NA,NA
519,Illinois Economic Insights,Business,Information & Data Sciences,NA
520,Illinois Economics Consulting Club [ IEC ],Business,Social & Behavioral Sciences,NA
521,Illinois Education Association - Aspiring Educators,Advocacy & Activism,Education,Pedagogy & Instruction
522,Illinois Golf League,Athletic & Recreation,NA,NA
523,Illinois Healthcare Mentorship Group ( IHMG ),Health & Wellness,NA,NA
524,Illinois Jurisprudence Society,Law,NA,NA
525,Illinois Leadership Center ( ILC ),NA,NA,NA
526,Illinois Medical Advancements through Design and Engineering,Technology,Engineering & Mathematics,NA
527,Illinois Men’s Club Basketball,Athletic & Recreation,Club Sports,NA
528,Illinois Men’s Lacrosse Club,Athletic & Recreation,Club Sports,NA
529,Illinois Men’s Rowing Club,Athletic & Recreation,Club Sports,NA
530,Illinois Men’s Rugby,Athletic & Recreation,Club Sports,NA
531,Illinois Men’s Soccer Club,Club Sports,NA,NA
532,Illinois Men’s Volleyball Club,Athletic & Recreation,Club Sports,NA
533,Illinois MicroTech,Education,Pedagogy & Instruction,Technology
534,Illinois Model United Nations,Advocacy & Activism,Ideology & Politics,International
535,Illinois Music Business Club,Media Arts,NA,NA
536,Illinois National Organization for the Professional Advancement of Black Chemists and Chemical Engineers Student Chapter,Environmental & Sustainability,Identity & Culture,Life & Physical Sciences
537,Illinois Open Ultimate Frisbee Team,Athletic & Recreation,Club Sports,NA
538,Illinois Personal Wealth Management Club,Business,Education,Pedagogy & Instruction
539,Illinois Recreational Baseball League,Athletic & Recreation,NA,NA
540,Illinois Restructuring Club,Business,Law,NA
541,Illinois Rip Chords,Performance Arts,NA,NA
542,Illinois Robotics in Space,Technology,Engineering & Mathematics,NA
543,Illinois Sailing,Athletic & Recreation,NA,NA
544,Illinois Semiconductor Student Alliance,Technology,Engineering & Mathematics,NA
545,Illinois Shotokan Karate Club,Athletic & Recreation,Club Sports,NA
546,Illinois Ski and Snowboard Club,Athletic & Recreation,Social & Leisure,NA
547,Illinois Solar Decathlon,Environmental & Sustainability,Technology,Engineering & Mathematics
548,Illinois Space Society,Technology,Engineering & Mathematics,NA
549,Illinois Spikeball Roundnet Club,Athletic & Recreation,NA,NA
550,Illinois Sports Business Conference,Athletic & Recreation,Business,NA
551,Illinois Student American Veterinary Medical Association,Veterinary,NA,NA
552,Illinois Student Chapter of the American Association of Equine Practitioners,Veterinary,NA,NA
553,Illinois Student Chapter of the Wildlife Disease Association,Veterinary,NA,NA
554,Illinois Student Chapter of the World Aquatic Veterinary Medical Association,Veterinary,NA,NA
555,Illinois Student Council,Advocacy & Activism,Student Governance & Councils,NA
556,Illinois Student Organization of Meteorology,Education,Pedagogy & Instruction,Life & Physical Sciences
557,Illinois Synchronized Skating,Athletic & Recreation,Club Sports,NA
558,Illinois Trial Team,Law,NA,NA
559,Illinois Triathlon Club,Athletic & Recreation,Club Sports,NA
560,Illinois Undergraduate Moot Court Team,Law,NA,NA
561,Illinois Underwater Hockey,Athletic & Recreation,Club Sports,Social & Leisure
562,Illinois Women’s Club Basketball,Athletic & Recreation,Club Sports,NA
563,Illinois Women’s Fastpitch Softball Club,Athletic & Recreation,Club Sports,NA
564,Illinois Women’s Lacrosse Club,Athletic & Recreation,Club Sports,NA
565,Illinois Women’s Rowing Club,Athletic & Recreation,Club Sports,NA
566,Illinois Women’s Rugby Football Club,Athletic & Recreation,Club Sports,NA
567,Illinois Women’s Volleyball Club,Athletic & Recreation,Club Sports,NA
568,Illio Yearbook,Media Arts,NA,NA
569,ImagiNation Dance Crew,Performance Arts,NA,NA
570,Impact Investing Club,Business,Environmental & Sustainability,NA
571,In Between at UIUC,Identity & Culture,Social & Leisure,~ Affiliation: Asian American Cultural Center (AACC)
572,Indian Graduate Students Association,Identity & Culture,International,~ Affiliation: Asian American Cultural Center (AACC)
573,Indian Student Association,Community Service & Philanthropy,Identity & Culture,Social & Leisure
574,Indonesian Students Club,Identity & Culture,International,Social & Leisure
575,Infection Prevention and Control Foundation,Health & Human Sciences,NA,NA
576,Inline Insomniacs,Athletic & Recreation,Environmental & Sustainability,Health & Wellness
577,"Inspiring Minds, Promoting Awareness, Cultivating Talent",Advocacy & Activism,Health & Wellness,NA
578,"Institute for Scientific Progress, Innovation, Research and Edutraining",Education,Pedagogy & Instruction,Environmental & Sustainability
579,Institute of Electrical and Electronics Engineers,Technology,Engineering & Mathematics,NA
580,Institute of Industrial and Systems Engineers,Technology,Engineering & Mathematics,NA
581,Institute of Transportation Engineers UIUC Chapter,Information & Data Sciences,Technology,Engineering & Mathematics
582,Intellectual Property Legal Society,Law,NA,NA
583,Intercollegiate IllinoiSkating,Athletic & Recreation,Performance Arts,NA
584,Interdisciplinary Health Educators And Leaders,Community Service & Philanthropy,Health & Wellness,Health & Human Sciences
585,Interfaith in Action,Community Service & Philanthropy,Faith,Religion & Spirituality
586,Interfraternity Council,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
587,International Christian Fellowship,Faith,Religion & Spirituality,International
588,International Consulting Network,Business,NA,NA
589,International Genetically Engineered Machine Team at the University of Illinois Urbana-Champaign,Technology,Engineering & Mathematics,NA
590,International Illini,Social & Leisure,NA,NA
591,International Students Association,International,NA,NA
592,International Taekwon-Do Federation Club at Illinois,Athletic & Recreation,Club Sports,NA
593,International Water Resources Association,Technology,Engineering & Mathematics,NA
594,InterVarsity Christian Fellowship - Illinois Undergrad Chapter,Faith,Religion & Spirituality,NA
595,InterVarsity Graduate Christian Fellowship,Faith,Religion & Spirituality,NA
596,Investment Portfolio Organization,Business,NA,NA
597,Iota Phi Lambda,Business,Social & Leisure,NA
598,iPlan,Education,Pedagogy & Instruction,NA
599,Iranian Cultural Association,Identity & Culture,International,Social & Leisure
600,Iranian Heritage Foundation,Community Service & Philanthropy,Identity & Culture,International
601,Irish Illini,Identity & Culture,NA,NA
602,iRobotics,Technology,Engineering & Mathematics,NA
603,It’s On Us at UIUC,Health & Wellness,Ideology & Politics,NA
604,Italian Club,Identity & Culture,International,NA
605,Jain Student Association,Faith,Religion & Spirituality,NA
606,Japanese Animation Club,Identity & Culture,Social & Leisure,NA
607,Japanese Student Association at UIUC,Identity & Culture,~ Affiliation: Asian American Cultural Center (AACC),NA
608,Jasmine Field Orchestra,International,Performance Arts,Social & Leisure
609,JET - Jewish Education Team,Faith,Religion & Spirituality,NA
610,Jewelry Crafting Community,Social & Leisure,NA,NA
611,Jewish Law Students Association,Faith,Religion & Spirituality,Identity & Culture
612,Journey International Ministry,Community Service & Philanthropy,Faith,Religion & Spirituality
613,K-Project,Identity & Culture,International,Performance Arts
614,Kappa Alpha Pi,Law,NA,NA
615,Kappa Alpha Theta Sorority,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
616,Kappa Delta Chi,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
617,Kappa Delta Sorority,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
618,Kappa Kappa Gamma,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
619,Kappa Kappa Psi,Honorary,Performance Arts,NA
620,"Kappa Phi Lambda Sorority, Inc.",Community Service & Philanthropy,Identity & Culture,Social & Leisure
621,"Kappa Pi Beta National Fraternity, Inc.",Community Service & Philanthropy,Identity & Culture,Social & Leisure
622,Kappa Sigma Fraternity,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
623,Kendo and Naginata club at the University of Illinois Urbana-Champaign,Athletic & Recreation,NA,NA
624,Keramos,Technology,Engineering & Mathematics,NA
625,Kick Brass - Brass Band,Performance Arts,NA,NA
626,Kinesiology Student Association,Athletic & Recreation,Community Service & Philanthropy,Health & Wellness
627,Kings Assembly Redeemed Christian Church of God,Faith,Religion & Spirituality,NA
628,Knights of Columbus Council number sign 2782,Community Service & Philanthropy,Faith,Religion & Spirituality
629,Knowledge Sprout Champaign-Urbana Initiative,Advocacy & Activism,Community Service & Philanthropy,Education
630,KOJOBS,Business,International,Technology
631,Korean American Student Association,Athletic & Recreation,Community Service & Philanthropy,Identity & Culture
632,Korean Art Architecture Design Association,Media Arts,NA,NA
633,Korean Cultural Center,Identity & Culture,Social & Leisure,NA
634,Korean Guitar Club,Performance Arts,NA,NA
635,Korean Illinois Football Association,Athletic & Recreation,NA,NA
636,Korean Jesus-Love Church,Faith,Religion & Spirituality,NA
637,Korean Student Association,Community Service & Philanthropy,Identity & Culture,International
638,Korean Undergraduate Network,Identity & Culture,International,NA
639,Korean-American Scientists and Engineers Association,Technology,Engineering & Mathematics,NA
640,La Colectiva,Advocacy & Activism,Identity & Culture,NA
641,La Fuerza Flamenca,Identity & Culture,Performance Arts,NA
642,"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc.",Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
643,Labor and Employment Relations Wellness Committee,Health & Wellness,NA,NA
644,Laboratory Animal Medicine Club,Veterinary,NA,NA
645,Lambda Phi Epsilon,Community Service & Philanthropy,Social Fraternities & Sororities,NA
646,"Lambda Theta Alpha Latin Sorority, Incorporated.",Community Service & Philanthropy,Social Fraternities & Sororities,~ Affiliation: Women's Resources Center (WRC)
647,"Lambda Theta Phi Latin Fraternity, Inc.",Community Service & Philanthropy,Identity & Culture,Social Fraternities & Sororities
648,LAS Leaders,NA,NA,NA
649,Latinx in Law,Law,NA,NA
650,Latinx Law Students Association,Law,NA,NA
651,Latter-day Saint Student Association at the University of Illinois at Urbana-Champaign,Faith,Religion & Spirituality,NA
652,Law and Medicine at Illinois,Advocacy & Activism,Education,Pedagogy & Instruction
653,LCMS-U Lutherans at Illinois,Faith,Religion & Spirituality,NA
654,League of Linguists,Education,Pedagogy & Instruction,Social & Behavioral Sciences
655,LEAN Six Sigma Council,Technology,Engineering & Mathematics,NA
656,Lebanese Student Association,Identity & Culture,International,NA
657,Legend Dance Company,NA,NA,NA
658,Lego Masters at UIUC,Community Service & Philanthropy,Education,Pedagogy & Instruction
659,Les Claviers,Performance Arts,NA,NA
660,Letters of Love UIUC,Community Service & Philanthropy,NA,NA
661,LGBTJew,Advocacy & Activism,Faith,Religion & Spirituality
662,Life Drawing Club,Media Arts,Social & Leisure,NA
663,Limitless Achievers,International,Technology,Engineering & Mathematics
664,LinguaMed,Education,Pedagogy & Instruction,Health & Wellness
665,Linguistics Student Organization,Community Service & Philanthropy,Education,Pedagogy & Instruction
666,Liquid Rocketry at Illinois,Technology,Engineering & Mathematics,NA
667,Love plus Flour Baking Club,Social & Leisure,NA,NA
668,Luso-Brazilian Association,Identity & Culture,International,NA
669,Lutheran Student Movement,Faith,Religion & Spirituality,NA
670,Macro Investing Association,Business,NA,NA
671,Mahjong Club at UIUC,Identity & Culture,International,Social & Leisure
672,Make Your Own World DIY Club in UIUC,Identity & Culture,International,Media Arts
673,Maker Network,Environmental & Sustainability,Technology,Engineering & Mathematics
674,makesmewanna art collective,Advocacy & Activism,Environmental & Sustainability,Media Arts
675,Makeup Skincare Club,Social & Leisure,NA,NA
676,Malaysian Student Association ( MaSA ),Identity & Culture,~ Affiliation: Asian American Cultural Center (AACC),NA
677,MannMukti,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
678,Mariachi Alma de la Universidad de Illinois,Performance Arts,NA,NA
679,Master of Finance Student Organization,Business,NA,NA
680,Material Advantage,Social & Leisure,Technology,Engineering & Mathematics
681,Materials Research Society,Social & Leisure,Technology,Engineering & Mathematics
682,Mathematical Advancement Through Research and Idea eXchange,Technology,Engineering & Mathematics,NA
683,MedLaunch,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
684,MEDLIFE UIUC,Community Service & Philanthropy,NA,NA
685,Menace Ultimate Frisbee,Athletic & Recreation,Club Sports,NA
686,Mentors in Medicine,Health & Wellness,NA,NA
687,Mexican Student Association,Identity & Culture,NA,NA
688,Mi Pueblo Spanish Conversation Groups,Identity & Culture,International,NA
689,Microfishing at Illinois,Social & Leisure,NA,NA
690,Mimosa Dance Crew,NA,NA,NA
691,"Mind, Body, and Soul",Social & Leisure,NA,NA
692,Mindful Movement,Health & Wellness,Performance Arts,NA
693,Minorities in Aerospace,Identity & Culture,Technology,Engineering & Mathematics
694,"Minorities in Agriculture, Natural Resources and Related Sciences",Agricultural,Community Service & Philanthropy,Environmental & Sustainability
695,Minorities in Animal Sciences,Agricultural,NA,NA
696,Minorities in Public Health,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
697,Minorities in STEM,Agricultural,Environmental & Sustainability,Health & Wellness
698,Minority Association for Future Attorneys,Law,NA,NA
699,Minority Association of Pre-Dental Students,Health & Wellness,NA,NA
700,Minority Business Students Association,Business,NA,NA
701,Mixed Motions UIUC,Business,Community Service & Philanthropy,Identity & Culture
702,Mixed Student Union,Identity & Culture,Social & Leisure,NA
703,Moda Belissima,Media Arts,Performance Arts,NA
704,Mongolian Cultural Organization at the University of Illinois Urbana-Champaign,Identity & Culture,Social & Leisure,NA
705,Montage Arts Journal,Media Arts,NA,NA
706,Mosaic,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
707,Mu Epsilon Delta,Community Service & Philanthropy,Education,Pedagogy & Instruction
708,Muay Thai Club at Illinois,Athletic & Recreation,Health & Wellness,NA
709,Music Education Student Association,Education,Pedagogy & Instruction,Performance Arts
710,Music Teachers National Association UIUC Collegiate Chapter,Education,Pedagogy & Instruction,Performance Arts
711,Musical Medics,Health & Wellness,Performance Arts,NA
712,Muslim Law Students Association,Faith,Religion & Spirituality,NA
713,Muslim Students Association,Faith,Religion & Spirituality,NA
714,Muslim Tech Collaborative UIUC,Business,Information & Data Sciences,Technology
715,Myra Bradwell Association for Women Law Students,Advocacy & Activism,Identity & Culture,Law
716,NAMI on Campus UIUC,Health & Wellness,NA,NA
717,National Agri-Marketing Association at UIUC,Agricultural,NA,NA
718,National Arab American Medical Association NextGen at UIUC,Education,Pedagogy & Instruction,NA
719,National Association for the Advancement of Colored People,Advocacy & Activism,NA,NA
720,National Association of Black Accountants,Business,NA,NA
721,National Association of Black Journalists,NA,NA,NA
722,"National Association of Colored Women’s Clubs, Inc.",Community Service & Philanthropy,NA,NA
723,"National Band Association, UIUC Collegiate Chapter",Education,Pedagogy & Instruction,Performance Arts
724,National Lawyers Guild,Law,NA,NA
725,National Organization for Business and Engineering,Business,Technology,Engineering & Mathematics
726,National Society of Black Engineers,Identity & Culture,Technology,Engineering & Mathematics
727,National Student Speech Language and Hearing Association,Community Service & Philanthropy,Social & Behavioral Sciences,NA
728,Naval Reserve Officers Training Corps,Veteran & Military Connected,NA,NA
729,Navigators,NA,NA,NA
730,Nepali Student Association,International,NA,NA
731,Neuroscience Student Organization,Health & Wellness,Life & Physical Sciences,NA
732,NeuroTech@UIUC,Education,Pedagogy & Instruction,Technology
733,New City Collegiate,Faith,Religion & Spirituality,NA
734,New Life Korean Church,Faith,Religion & Spirituality,NA
735,NEXT,Social & Leisure,NA,NA
736,Next Generation Leaders,Business,Social & Behavioral Sciences,NA
737,NMDP,Community Service & Philanthropy,NA,NA
738,No Comment A Cappella,Performance Arts,NA,NA
739,No Strings Attached A Cappella,Performance Arts,NA,NA
